culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,cluster
39.2,19.6,195.0,4675.0,MALE,1
34.6,21.1,-132.0,4400.0,MALE,1
42.5,20.7,197.0,4500.0,MALE,1
39.8,19.1,184.0,4650.0,MALE,1
44.1,19.7,196.0,4400.0,MALE,1
39.6,18.8,190.0,4600.0,MALE,1
40.1,18.9,188.0,4300.0,MALE,1
41.3,21.1,195.0,4400.0,MALE,1
41.8,19.4,198.0,4450.0,MALE,1
42.9,17.6,196.0,4700.0,MALE,1
41.1,18.1,205.0,4300.0,MALE,1
39.6,18.1,186.0,4450.0,MALE,1
40.8,18.9,208.0,4300.0,MALE,1
40.3,18.5,196.0,4350.0,MALE,1
41.0,20.0,203.0,4725.0,MALE,1
43.2,19.0,197.0,4775.0,MALE,1
45.6,20.3,191.0,4600.0,MALE,1
42.2,19.5,197.0,4275.0,MALE,1
41.5,18.3,195.0,4300.0,MALE,1
37.5,18.5,199.0,4475.0,MALE,1
49.2,18.2,195.0,4400.0,MALE,1
52.8,20.0,205.0,4550.0,MALE,1
54.2,20.8,201.0,4300.0,MALE,1
52.0,20.7,210.0,4800.0,MALE,1
53.5,19.9,205.0,4500.0,MALE,1
50.8,18.5,201.0,4450.0,MALE,1
49.0,19.6,212.0,4300.0,MALE,1
46.1,13.2,211.0,4500.0,FEMALE,1
48.7,14.1,210.0,4450.0,FEMALE,1
46.5,13.5,210.0,4550.0,FEMALE,1
45.4,14.6,211.0,4800.0,FEMALE,1
43.3,13.4,209.0,4400.0,FEMALE,1
40.9,13.7,214.0,4650.0,FEMALE,1
45.5,13.7,214.0,4650.0,FEMALE,1
46.2,14.5,209.0,4800.0,FEMALE,1
45.1,14.5,215.0,5000.0,FEMALE,1
46.5,14.5,213.0,4400.0,FEMALE,1
46.3,15.8,215.0,5050.0,MALE,1
42.9,13.1,215.0,5000.0,FEMALE,1
48.2,14.3,210.0,4600.0,FEMALE,1
42.8,14.2,209.0,4700.0,FEMALE,1
45.1,14.5,207.0,5050.0,FEMALE,1
42.6,13.7,213.0,4950.0,FEMALE,1
44.0,13.6,208.0,4350.0,FEMALE,1
45.3,13.7,210.0,4300.0,FEMALE,1
49.6,15.0,216.0,4750.0,MALE,1
43.6,13.9,217.0,4900.0,FEMALE,1
46.6,14.2,210.0,4850.0,FEMALE,1
45.1,14.4,210.0,4400.0,FEMALE,1
50.1,15.0,225.0,5000.0,MALE,1
46.5,14.4,217.0,4900.0,FEMALE,1
45.0,15.4,220.0,5050.0,MALE,1
43.8,13.9,208.0,4300.0,FEMALE,1
45.5,15.0,220.0,5000.0,MALE,1
43.2,14.5,208.0,4450.0,FEMALE,1
45.7,13.9,214.0,4400.0,FEMALE,1
45.8,14.2,219.0,4700.0,FEMALE,1
46.2,14.4,214.0,4650.0,,1
43.5,14.2,220.0,4700.0,FEMALE,1
47.7,15.0,216.0,4750.0,FEMALE,1
46.4,15.6,221.0,5000.0,MALE,1
46.4,15.0,216.0,4700.0,FEMALE,1
47.5,14.2,209.0,4600.0,FEMALE,1
45.2,13.8,215.0,4750.0,FEMALE,1
49.1,14.5,212.0,4625.0,FEMALE,1
47.4,14.6,212.0,4725.0,FEMALE,1
44.9,13.8,212.0,4750.0,FEMALE,1
43.4,14.4,218.0,4600.0,FEMALE,1
47.5,14.0,212.0,4875.0,FEMALE,1
47.5,15.0,218.0,4950.0,FEMALE,1
45.5,14.5,212.0,4750.0,FEMALE,1
44.5,14.7,214.0,4850.0,FEMALE,1
49.4,15.8,216.0,4925.0,MALE,1
46.9,14.6,222.0,4875.0,FEMALE,1
48.4,14.4,203.0,4625.0,FEMALE,1
48.5,15.0,219.0,4850.0,FEMALE,1
47.2,15.5,215.0,4975.0,FEMALE,1
47.3,13.8,216.0,4725.0,,1
41.7,14.7,210.0,4700.0,FEMALE,1
43.3,14.0,208.0,4575.0,FEMALE,1
50.5,15.2,216.0,5000.0,FEMALE,1
43.5,15.2,213.0,4650.0,FEMALE,1
46.2,14.1,217.0,4375.0,FEMALE,1
44.5,15.7,217.0,4875.0,.,1
47.2,13.7,214.0,4925.0,FEMALE,1
46.8,14.3,215.0,4850.0,FEMALE,1
